"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.3737741616736","98.4282597493425","98.5017492013514","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.49160997191625","13.2018746955682","15.2093473536694","13.8135351072229","15.4236146358427","10.9588403149893","16.7624691704676","14.417101517166","16.9779753635741","18.1733410522112","16.2410638636384","15.2959503612632","20.5253527781327","19.4613833438545","17.790698468584","16.5534701416911","23.9078966279348","24.6247249863346","26.8138996635713","28.8411502327974","",
"Afghanistan","AFG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.10900517201267","12.6997313020001","19.5182278710583","27.9542507444805","33.2449004323468","30.2188002485248","29.5728807664918","60.8491567562828","61.3157881912498","86.5005119066394","64.573353938483","97.0993597954095","97.0919732441472","98.3096033474763","96.9021900526337","",
"Africa Western and Central","AFW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1566498971678","12.4645979175816","12.8617673653824","12.7234761439132","15.0914758808784","14.2939527212404","17.9805811418915","16.5654206404199","16.0298944940614","15.8119150640662","21.5804614216569","16.9093248786758","17.728699496269","17.9841524765381","17.7584276868421","19.5224711278651","18.9695698566567","20.5526150585964","22.3254492914648","19.7619576402942","23.2557417703137","22.8312924436818","22.7424713294736","27.3596070531589","22.8465676787064","28.1049233917569","26.5893676667704","",
"Angola","AGO","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.47707687113025","2.98441437873898","2.56745926752524","2.01903459193566","1.32498881356757","0.965576784056293","","6.60939361517007","","","","","","","3.8150702987396","","","7.33344863532473","","",
"Albania","ALB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Andorra","AND","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7229438513037","56.8070388621623","57.8726050466716","57.4477251330621","59.7314720423886","60.5407426026899","61.9355692051976","62.8871985355651","61.4583819367514","64.1685340039922","65.3989026066326","67.6076788067821","63.74185259842","65.4401737206236","71.5961787003547","67.5256536537062","70.9007045765927","70.1681806589486","73.6702923250001","73.8934062228765","73.7720179417861","78.0299981372431","76.2165225045756","77.5732930927247","78.4607592492527","80.8615961050627","78.0319241589284","80.0957669720921","",
"United Arab Emirates","ARE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.8945883201315","79.2542709682829","79.7786350872369","80.3337006585459","80.9358863354632","81.608093422829","82.3698768370974","83.247062020095","84.2638406906497","85.4318646348945","86.707484143731","85.7839149543556","89.3252407193965","90.5254752913059","91.546724966702","92.3081989957814","92.8083378769504","93.1346145264057","93.3840370107719","93.6619736364405","93.5739766504745","92.3389225357338","93.411478317907","94.33630488112","100","99.4252857287001","100","100","100","100","",
