"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9241333007813","99.966064453125","99.9903564453125","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0834516422826","54.7701226470266","56.1023300404056","57.0943101230703","57.836866299283","58.9533652971299","59.5469745890136","59.5989593932235","60.9834004395019","61.2272550575374","62.5208242745159","65.4706154133","66.303599202538","66.4960101543106","65.8289881700667","66.9266915686378","68.7221844313438","71.0854179924979","71.9949328691005","73.5898862435969","",
"Afghanistan","AFG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","79.9290924072266","81.7489013671875","89.9","85.4201049804688","82.8","86.5677791512155","95","92.7733535766602","98.7","92.5","99.5","99.5","99.9021453857422","100","",
"Africa Western and Central","AFW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.3798903017662","76.4140186640721","76.2217529588441","73.1951617309708","72.5633584147351","73.1877238755088","72.9165989950449","73.4057613331432","73.8194694578744","73.7894456030465","74.7771658144584","73.8649514500028","74.0943234594707","74.5406268524408","76.1302849280826","75.5436497537643","75.3669184650575","74.1581839110219","79.3825435877226","78.6913884319684","78.8298663571616","79.5075091428291","78.2635084580284","81.5894027228539","82.5993339267089","80.3578978731328","82.7088809503191","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","47.5879402160645","48.9803161621094","50.3852157592773","51.8093376159668","53.2539596557617","66.1","61.31","57.6685028076172","73.9696273803711","82.5","70.7206573486328","68.7236175537109","51","64","67.9861068725586","69.4484634399414","65.27","72.3714752197266","",
"Albania","ALB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9","100","100","100","100","100","100","100","",
"Andorra","AND","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5914823193807","93.0187291698332","93.2787181048567","93.6073534056989","93.5577284970396","95.1559691221961","94.8823036690031","95.6399815501664","95.0281083313579","96.3428944465134","96.5048108836219","96.5161333441434","96.8153080215967","96.4858006595942","96.7111393781458","97.007896590219","97.1995405726257","96.9009764254841","97.4139833390168","",
"United Arab Emirates","ARE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1390151977539","94.4131164550781","94.6866989135742","94.9571228027344","95.2212295532227","95.4758529663086","95.7178421020508","95.9440383911133","96.1512680053711","96.3380737304688","96.5096893310547","96.6730422973633","96.8350677490234","97.0026931762695","97.1828460693359","97.3822174072266","97.6020889282227","97.8383255004883","98.0865478515625","98.3423843383789","99.3484191894531","99.7477340698242","99.7957153320313","99.837646484375","100","99.8475646972656","99.9405288696289","100","100","100","",
